link;description;street;rooms;m2;floor;house_type;price
https://ss.lv/msg/lv/real-estate/flats/riga/plyavnieki/hbmmh.html;Аренда на короткие сроки, Плявниеки-Пурвциемс. Просторная 1-комн;Pļavnieki::Ilūkstes 4;1;40;8/9;M. ģim.;25  €/dienā
https://ss.lv/msg/lv/real-estate/flats/riga/ziepniekkalns/ceghx.html;Квартира в идеальном состоянии с качественным ремонтом в очень х;Ziepniekkalns::Bērzlapu 2;2;58;9/16;104.;87,000  €
https://ss.lv/msg/lv/real-estate/flats/riga/purvciems/adkcl.html;"Piedāvājam iegādāties 3. istabu dzīvokli Purvciemā. 

Dzīvokli";Purvciems::Purvciema 29;3;75;1/9;119.;78,000  €
https://ss.lv/msg/lv/real-estate/flats/riga/centre/fxcmb.html;Pagalma māja, kapitālais remonts, koka stikla pakešu logi, divas;centrs::Brīvības 136;3;90;3/5;P. kara;500  €/mēn.
https://ss.lv/msg/lv/real-estate/flats/riga/agenskalns/bxcibg.html;Pārdošanā 2 istabu dzīvoklis jaunajā projektā Kuldīgas ielā 45b.;Āgenskalns::Kuldīgas 45b;2;39;1/5;Renov.;97,000  €
https://ss.lv/msg/lv/real-estate/flats/riga/plyavnieki/dljhf.html;Продается 3 комнатная квартира в микрорайоне Плявниеки. 602 сери;Pļavnieki::Rudens 10;3;63;4/9;602.;80,000  €
https://ss.lv/msg/lv/real-estate/flats/riga/centre/fddxm.html;Tiek izīrēts uz ilgu laiku izremontēts dzīvoklis. Svaigs remonts;centrs::Raiņa bulv. 31;2;37;2/5;P. kara;450  €/mēn.
https://ss.lv/msg/lv/real-estate/flats/riga/centre/afcdh.html;Квартира в посольском районе с парковочным местом. В отделке ква;centrs::Alunāna 6;2;63;3/4;P. kara;320,000  €
https://ss.lv/msg/lv/real-estate/flats/riga/purvciems/cibei.html;"Комнаты изолированные
Сдаём на длительный срок
Договор
Коммун";Purvciems::Nīcgales 22;2;45;1/5;LT proj.;290  €/mēn.
https://ss.lv/msg/lv/real-estate/flats/riga/plyavnieki/fgdkg.html;"Gaišs, silts dzīvoklis mājas viducī:
+ tikko veikts kapitālais ";Pļavnieki::Jasmuižas 3;3;64;6/9;602.;77,000  €
https://ss.lv/msg/lv/real-estate/flats/riga/purvciems/gdxod.html;Izīrē plašu divistabu dzīvokli kārtīgiem īrniekiem tikai uz ilgu;Purvciems::Madonas 19;2;58;8/9;119.;320  €/mēn.
https://ss.lv/msg/lv/real-estate/flats/riga/plyavnieki/ghmgm.html;Хозяин продаёт 2-комнатную квартиру в Плявниеках. Квартира наход;Pļavnieki::Salnas 6;2;52;4/9;602.;64,999  €
https://ss.lv/msg/lv/real-estate/flats/riga/centre/dxleh.html;"Īpašnieks izīrē vienistabu dzīvokli ;

Neiebilst pret mājdzīvn";centrs::Brīvības 176;1;16;2/3;Renov.;250  €/mēn.
https://ss.lv/msg/lv/real-estate/flats/riga/plyavnieki/agfni.html;Семейная пара с 1 ребенком без вредных привычек снимет 2-3х. ком;Pļavnieki::;2;-;-;-;vēlosīret 
https://ss.lv/msg/lv/real-estate/flats/riga/bolderaya/ejgxm.html;"Проходные комнаты
-совмещённый санузел
-земля в собственности
";Bolderāja::Keramikas 8;2;42;3/5;Hrušč.;35,700  €
https://ss.lv/msg/lv/real-estate/flats/riga/centre/fljmg.html;Двухкомнатная квартира-студия с отдельной спальней, с эксклюзивн;centrs::Bruņinieku 28;3;75;3/6;P. kara;670  €/mēn.
https://ss.lv/msg/lv/real-estate/flats/riga/centre/adpkl.html;Eklektikas stilā veidots mājīgs, pietiekoši liels dzīvoklis 2 pe;centrs::Matīsa 41;1;20;1/2;Renov.;30  €/dienā
