link;description;street;rooms;m2;floor;house_type;price
https://ss.lv/msg/lv/real-estate/flats/riga/darzciems/ifbhm.html;"Saulains dzīvoklis blakus tirdzniecības centriem:

- Metāla ār";Dārzciems::Lubānas 47;1;32;3/3;Hrušč.;37,600  €
https://ss.lv/msg/lv/real-estate/flats/riga/mezhapark/fkcoc.html;Pārdodu lielisku dzīvokli ( mājas daļu - 2 stāvs ). Māja celta 1;Mežaparks::Kokneses pr. 26;5;170;2/2;Specpr.;299,000  €
https://ss.lv/msg/lv/real-estate/flats/riga/zolitude/ejpdx.html;Собственник продаёт уютную, светлую квартиру (пентхаус) мебелиро;Zolitūde::s 75;3;151;6/6;Jaun.;240,000  €
https://ss.lv/msg/lv/real-estate/flats/riga/yugla/geobf.html;"Купим сразу -

- Если сроки для продажи квартиры критически ма";Jugla::;Citi;20;20/21;-;pērku 
https://ss.lv/msg/lv/real-estate/flats/riga/kengarags/abpfo.html;"Быстро куплю вашу квартиру -

-Принятие решения о выкупе кварт";Ķengarags::;Citi;-;-;-;pērku 
https://ss.lv/msg/lv/real-estate/flats/riga/centre/aenki.html;Pārdod kapitāli izremontētu 3 istabu dzīvokli klusajā centrā, au;centrs::Antonijas 15;3;83;5/6;P. kara;171,000  €
https://ss.lv/msg/lv/real-estate/flats/riga/yugla/dpcjj.html;Īpašnieks pārdod saulainu un siltu dzīvokli rajonā, kur gan labi;Jugla::Brīvības 391;2;43;4/5;Hrušč.;45,000  €
https://ss.lv/msg/lv/real-estate/flats/riga/kengarags/hkeho.html;Kуплю Вашу квартиру в любой состоянии (без / с ремонтом, квартир;Ķengarags::;Citi;-;-;-;pērku 
https://ss.lv/msg/lv/real-estate/flats/riga/centre/ccefb.html;Pārdodam ekskluzīvu četristabu dzīvokli klusajā Centrā, pretī Kr;centrs::Strēlnieku 3;4;133;2/5;Renov.;350,000  €
https://ss.lv/msg/lv/real-estate/flats/riga/imanta/cxlih.html;Продаётся дизайнерская трёх комнатная квартира, в стиле современ;Imanta::Dumbrāja 18;3;80;4/5;Jaun.;200,000  €
https://ss.lv/msg/lv/real-estate/flats/riga/centre/eoinp.html;Mājoklim vai tirdzniecībai, pilsētas centrā, 3 izolētas istabas,;centrs::Dzirnavu 62;3;83;1/5;P. kara;153,000  €
https://ss.lv/msg/lv/real-estate/flats/riga/centre/djixk.html;Projekta attīstītājs piedāvā ekskluzīvu 3 istabas dzīvokli ar pi;centrs::Dzirnavu 81;3;89;2/7;Jaun.;340,000  €
https://ss.lv/msg/lv/real-estate/flats/riga/centre/hfmld.html;Projekta attīstītājs piedāvā dzīvokli ar pilnu iekšējo apdari - ;centrs::Dzirnavu 81;2;60;6/7;Jaun.;255,000  €
https://ss.lv/msg/lv/real-estate/flats/riga/centre/clemi.html;Tiek izīrēts vienistabas dzīvoklis Rīgā. Dzīvoklis aprīkots ar v;centrs::Tomsona 13;1;46;1/5;P. kara;500  €/mēn.
https://ss.lv/msg/lv/real-estate/flats/riga/kliversala/hifjk.html;"""Hoffmann Rezidence"" Attīstītājs pārdod ekskluzīvu 3-istabu dzīv";Klīversala::Kuģu 13;3;82;2/6;Jaun.;244,900  €
https://ss.lv/msg/lv/real-estate/flats/riga/sarkandaugava/cihkl.html;В связи с переездом в другую страну, продаю квартиру с мебелью и;Sarkandaugava::Priežu 12;1;20;2/3;P. kara;18,000  €
https://ss.lv/msg/lv/real-estate/flats/riga/agenskalns/edipm.html;"""Hoffmann Rezidence"" Attīstītājs pārdod 3-istabu dzīvokli, kurš ";Āgenskalns::Kuģu 13;3;49;4/5;Jaun.;157,900  €
https://ss.lv/msg/lv/real-estate/flats/riga/centre/fellj.html;Pašā Rīgas centrā, Tērbatas un Lāčplēša ielu krustojumā, tiek iz;centrs::Tērbatas 33/35;1;25;2/5;Renov.;340  €/mēn.
https://ss.lv/msg/lv/real-estate/flats/riga/vecmilgravis/fgcki.html;Продается 1 - комнатная квартира с лоджией, после капитального р;Vecmīlgrāvis::Kalngales 6;1;35;8/9;602.;45,000  €
https://ss.lv/msg/lv/real-estate/flats/riga/centre/ckehm.html;Pārdodam gaišu, saulainu, siltu un gaumīgi iekārtotu 3-ist. dzīv;centrs::Čaka 106;3;60;5/6;P. kara;103,500  €
https://ss.lv/msg/lv/real-estate/flats/riga/dzeguzhkalns/cnpon.html;Хозяйка продает компактную 2 комнатную квартиру комнаты изолиров;Dzegužkalns::Vircavas 9;2;37;5/5;LT proj.;43,500  €
https://ss.lv/msg/lv/real-estate/flats/riga/vecmilgravis/adncn.html;"Продается квартира в двухэтажном доме состоящем из 4 квартир. 
";Vecmīlgrāvis::Dombrovska 7а;2;53;1/2;P. kara;39,000  €
https://ss.lv/msg/lv/real-estate/flats/riga/yugla/hocbe.html;Īpašnieks izīrē mēbelēts, labiekārtots 3 istabu dzīvoklis ar vis;Jugla::Tirzas 3/1;3;71;2/4;Specpr.;390  €/mēn.
https://ss.lv/msg/lv/real-estate/flats/riga/ziepniekkalns/addcg.html;Pārdodam siltu, plašu, gaišu 4.istabu dzīvoklī, daļēji remontēts;Ziepniekkalns::Dižozolu 25;4;79;9/9;602.;70,000  €
https://ss.lv/msg/lv/real-estate/flats/riga/bolderaya/aixex.html;Сдаётся 1-комнатная квартира 42 кв. м в хорошем состоянии со все;Bolderāja::Platā 19;1;42;8/9;LT proj.;200  €/mēn.
https://ss.lv/msg/lv/real-estate/flats/riga/agenskalns/acfil.html;Rets piedāvājums skaistā Gotikas stila mājā ar īpašu auru un izc;Āgenskalns::Meža 4A;4;113;5/5;P. kara;202,500  €
https://ss.lv/msg/lv/real-estate/flats/riga/purvciems/gbimf.html;Pārdod skaistu un gaišu dzīvokli Purvciemā. Dzīvoklis ar pārdomā;Purvciems::Vaidavas 6 k-3;5;145;1/5;Jaun.;299,900  €
https://ss.lv/msg/lv/real-estate/flats/riga/mezhciems/dfmpc.html;Tiek pārdots mājīgs saulains 1-istabas dzīvoklis 5.stāvā. Taisīt;Mežciems::Druvienas 15;1;30;5/5;LT proj.;35,000  €
https://ss.lv/msg/lv/real-estate/flats/riga/plyavnieki/ghemc.html;Piedāvājumā plašs vienistabas dzīvoklis ar daļēju remontu. Zeme ;Pļavnieki::Zemes 9;1;43;1/9;M. ģim.;46,000  €
https://ss.lv/msg/lv/real-estate/flats/riga/yugla/cbdik.html;Быстро куплю вашу квартиру, дом или несколько квартир в нем. В Р;Jugla::;Citi;-;-;-;pērku 
https://ss.lv/msg/lv/real-estate/flats/riga/imanta/dedxx.html;"Продаётся 2-х комнатная квартира с лоджий, раздельный санузел. ";Imanta::Jūrmalas g. 95;2;50;8/9;602.;52,500  €
https://ss.lv/msg/lv/real-estate/flats/riga/agenskalns/ahedd.html;Gaišs trīsistabu dzīvoklis ar pabeigtu iekšējo apdari gaumīgi at;Āgenskalns::Margrietas 12;3;74;2/3;Renov.;550  €/mēn.
https://ss.lv/msg/lv/real-estate/flats/riga/centre/bifoh.html;Lieliska iespēja iegādāties gaišu, plašu un modernu dzīvokli Rīg;centrs::Valdemāra 9;3;82;2/2;P. kara;205,000  €
https://ss.lv/msg/lv/real-estate/flats/riga/vecriga/chloi.html;Stylish modern apartment in the heart of Old Riga, Audeju street;Vecrīga::Audēju 2;2;50;3/5;Jaun.;560  €/mēn.
https://ss.lv/msg/lv/real-estate/flats/riga/centre/egkji.html;Īpašnieks pārdod skaistu, saulainu un siltu dzīvokli ar garāžu R;centrs::Cēsu 5;3;72;2/5;P. kara;200,000  €
